entry_time,exit_time,action,entry_price,exit_price,pnl_points,pnl_rupees,capital,exit_reason
2025-09-01 12:10:00+05:30,2025-09-01 12:15:00+05:30,SHORT,413.175,414.3,-1.125,-96.25,99903.75,Target Gap Fill
2025-09-01 14:30:00+05:30,2025-09-01 14:35:00+05:30,LONG,439.375,445.7,6.324999999999989,276.24999999999943,100180.0,End of Candle
2025-09-02 09:30:00+05:30,2025-09-02 09:35:00+05:30,LONG,448.425,467.4,18.974999999999966,908.7499999999983,101088.75,Target Gap Fill
2025-09-02 11:25:00+05:30,2025-09-02 11:30:00+05:30,LONG,497.475,503.4,5.9249999999999545,256.2499999999977,101345.0,End of Candle
2025-09-02 13:10:00+05:30,2025-09-02 13:15:00+05:30,LONG,505.825,500.25,-5.574999999999989,-318.74999999999943,101026.25,Stop Gap Fill
2025-09-02 13:15:00+05:30,2025-09-02 13:20:00+05:30,LONG,500.875,489.75,-11.125,-596.25,100430.0,Stop Gap Fill
2025-09-02 14:45:00+05:30,2025-09-02 14:50:00+05:30,SHORT,429.175,430.55,-1.375,-108.75,100321.25,Target Gap Fill
2025-09-02 14:50:00+05:30,2025-09-02 14:55:00+05:30,SHORT,429.925,416.95,12.975000000000023,608.7500000000011,100930.0,Target Gap Fill
2025-09-02 15:10:00+05:30,2025-09-02 15:15:00+05:30,SHORT,425.525,423.25,2.2749999999999773,73.74999999999886,101003.75,Target Gap Fill
2025-09-03 09:30:00+05:30,2025-09-03 09:35:00+05:30,SHORT,419.625,406.9,12.725000000000023,596.2500000000011,101600.0,Target Gap Fill
2025-09-03 09:55:00+05:30,2025-09-03 10:00:00+05:30,SHORT,407.625,407.4,0.22500000000002274,-28.749999999998863,101571.25,Target Gap Fill
2025-09-03 10:05:00+05:30,2025-09-03 10:10:00+05:30,SHORT,416.675,419.25,-2.5749999999999886,-168.74999999999943,101402.5,Target Gap Fill
2025-09-03 10:10:00+05:30,2025-09-03 10:15:00+05:30,SHORT,418.625,416.35,2.2749999999999773,73.74999999999886,101476.25,Target Gap Fill
2025-09-03 10:15:00+05:30,2025-09-03 10:20:00+05:30,SHORT,415.725,409.0,6.725000000000023,296.25000000000114,101772.5,Target Gap Fill
2025-09-03 11:10:00+05:30,2025-09-03 11:15:00+05:30,SHORT,404.025,400.5,3.5249999999999773,136.24999999999886,101908.75,Target Gap Fill
2025-09-03 11:40:00+05:30,2025-09-03 11:45:00+05:30,SHORT,405.025,410.25,-5.225000000000023,-301.25000000000114,101607.5,Target Gap Fill
2025-09-03 11:45:00+05:30,2025-09-03 11:50:00+05:30,SHORT,409.625,408.05,1.5749999999999886,38.74999999999943,101646.25,Target Gap Fill
2025-09-03 12:50:00+05:30,2025-09-03 12:55:00+05:30,LONG,424.975,418.55,-6.425000000000011,-361.25000000000057,101285.0,Stop Gap Fill
2025-09-03 12:55:00+05:30,2025-09-03 13:00:00+05:30,LONG,419.175,412.75,-6.425000000000011,-361.25000000000057,100923.75,Stop Gap Fill
2025-09-03 13:00:00+05:30,2025-09-03 13:05:00+05:30,LONG,413.375,419.0,5.625,241.25,101165.0,End of Candle
2025-09-03 14:45:00+05:30,2025-09-03 14:50:00+05:30,LONG,441.325,444.1,2.775000000000034,98.7500000000017,101263.75,End of Candle
2025-09-04 10:10:00+05:30,2025-09-04 10:15:00+05:30,LONG,572.325,539.8,-32.52500000000009,-1666.2500000000045,99597.5,Stop Gap Fill
2025-09-04 10:15:00+05:30,2025-09-04 10:20:00+05:30,LONG,540.425,549.925,9.5,435.0,100032.5,Target Hit
2025-09-04 10:20:00+05:30,2025-09-04 10:25:00+05:30,LONG,550.325,544.825,-5.5,-315.0,99717.5,Stoploss Hit
2025-09-04 10:30:00+05:30,2025-09-04 10:35:00+05:30,LONG,543.525,538.025,-5.5,-315.0,99402.5,Stoploss Hit
2025-09-04 10:35:00+05:30,2025-09-04 10:40:00+05:30,LONG,540.625,535.125,-5.5,-315.0,99087.5,Stoploss Hit
2025-09-04 10:40:00+05:30,2025-09-04 10:45:00+05:30,LONG,537.675,527.3,-10.375,-558.75,98528.75,Stop Gap Fill
2025-09-04 12:40:00+05:30,2025-09-04 12:45:00+05:30,SHORT,522.075,530.25,-8.174999999999955,-448.7499999999977,98080.0,Stop Gap Fill
2025-09-04 12:45:00+05:30,2025-09-04 12:50:00+05:30,SHORT,529.625,536.75,-7.125,-396.25,97683.75,Stop Gap Fill
2025-09-04 13:15:00+05:30,2025-09-04 13:20:00+05:30,LONG,530.375,531.75,1.375,28.75,97712.5,End of Candle
2025-09-04 13:20:00+05:30,2025-09-04 13:25:00+05:30,LONG,529.475,529.75,0.27499999999997726,-26.250000000001137,97686.25,End of Candle
2025-09-04 14:45:00+05:30,2025-09-04 14:50:00+05:30,SHORT,494.625,490.95,3.6750000000000114,143.75000000000057,97830.0,Target Gap Fill
2025-09-04 15:25:00+05:30,2025-09-05 09:15:00+05:30,SHORT,478.475,500.3,-21.82499999999999,-1131.2499999999995,96698.75,Stop Gap Fill
2025-09-05 09:20:00+05:30,2025-09-05 09:25:00+05:30,SHORT,515.075,500.25,14.825000000000045,701.2500000000023,97400.0,Target Gap Fill
2025-09-05 09:40:00+05:30,2025-09-05 09:45:00+05:30,LONG,494.025,488.525,-5.5,-315.0,97085.0,Stoploss Hit
2025-09-05 09:45:00+05:30,2025-09-05 09:50:00+05:30,LONG,489.825,499.325,9.5,435.0,97520.0,Target Hit
2025-09-05 09:50:00+05:30,2025-09-05 09:55:00+05:30,LONG,490.575,502.75,12.175000000000011,568.7500000000006,98088.75,Target Gap Fill
2025-09-05 10:00:00+05:30,2025-09-05 10:05:00+05:30,LONG,492.125,485.75,-6.375,-358.75,97730.0,Stop Gap Fill
2025-09-05 10:30:00+05:30,2025-09-05 10:35:00+05:30,SHORT,468.625,453.25,15.375,728.75,98458.75,Target Gap Fill
2025-09-05 11:05:00+05:30,2025-09-05 11:10:00+05:30,SHORT,453.025,445.3,7.724999999999966,346.2499999999983,98805.0,Target Gap Fill
2025-09-05 11:35:00+05:30,2025-09-05 11:40:00+05:30,SHORT,450.225,452.25,-2.0249999999999773,-141.24999999999886,98663.75,Target Gap Fill
2025-09-05 11:40:00+05:30,2025-09-05 11:45:00+05:30,SHORT,451.625,438.75,12.875,603.75,99267.5,Target Gap Fill
2025-09-05 13:10:00+05:30,2025-09-05 13:15:00+05:30,SHORT,422.225,431.1,-8.875,-483.75,98783.75,Stop Gap Fill
2025-09-05 13:15:00+05:30,2025-09-05 13:20:00+05:30,SHORT,430.475,439.1,-8.625,-471.25,98312.5,Stop Gap Fill
2025-09-05 13:20:00+05:30,2025-09-05 13:25:00+05:30,SHORT,438.475,434.8,3.6750000000000114,143.75000000000057,98456.25,Target Gap Fill
2025-09-05 14:40:00+05:30,2025-09-05 14:45:00+05:30,LONG,465.375,466.75,1.375,28.75,98485.0,End of Candle
2025-09-05 14:45:00+05:30,2025-09-05 14:50:00+05:30,LONG,466.425,470.25,3.8249999999999886,151.24999999999943,98636.25,End of Candle
2025-09-05 14:50:00+05:30,2025-09-05 14:55:00+05:30,LONG,467.375,476.875,9.5,435.0,99071.25,Target Hit
2025-09-05 15:05:00+05:30,2025-09-05 15:10:00+05:30,LONG,466.475,476.25,9.774999999999977,448.74999999999886,99520.0,Target Gap Fill
2025-09-08 10:00:00+05:30,2025-09-08 10:05:00+05:30,LONG,502.375,512.6,10.225000000000023,471.25000000000114,99991.25,Target Gap Fill
2025-09-08 10:15:00+05:30,2025-09-08 10:20:00+05:30,LONG,500.375,500.8,0.42500000000001137,-18.74999999999943,99972.5,End of Candle
2025-09-08 10:20:00+05:30,2025-09-08 10:25:00+05:30,LONG,502.625,497.125,-5.5,-315.0,99657.5,Stoploss Hit
2025-09-08 10:25:00+05:30,2025-09-08 10:30:00+05:30,LONG,501.425,492.7,-8.725000000000023,-476.25000000000114,99181.25,Stop Gap Fill
2025-09-08 10:30:00+05:30,2025-09-08 10:35:00+05:30,LONG,493.325,485.6,-7.724999999999966,-426.2499999999983,98755.0,Stop Gap Fill
2025-09-08 10:35:00+05:30,2025-09-08 10:40:00+05:30,LONG,486.225,495.725,9.5,435.0,99190.0,Target Hit
2025-09-08 13:20:00+05:30,2025-09-08 13:25:00+05:30,LONG,533.225,531.75,-1.4750000000000227,-113.75000000000114,99076.25,End of Candle
2025-09-08 13:25:00+05:30,2025-09-08 13:30:00+05:30,LONG,530.525,531.75,1.2250000000000227,21.250000000001137,99097.5,End of Candle
2025-09-08 13:50:00+05:30,2025-09-08 13:55:00+05:30,LONG,520.175,528.35,8.175000000000068,368.7500000000034,99466.25,End of Candle
2025-09-09 09:20:00+05:30,2025-09-09 09:25:00+05:30,SHORT,526.025,528.25,-2.2250000000000227,-151.25000000000114,99315.0,Target Gap Fill
2025-09-09 10:15:00+05:30,2025-09-09 10:20:00+05:30,LONG,513.825,508.32500000000005,-5.5,-315.0,99000.0,Stoploss Hit
2025-09-09 11:00:00+05:30,2025-09-09 11:05:00+05:30,SHORT,517.625,521.15,-3.5249999999999773,-216.24999999999886,98783.75,Target Gap Fill
2025-09-09 12:05:00+05:30,2025-09-09 12:10:00+05:30,LONG,518.525,509.4,-9.125,-496.25,98287.5,Stop Gap Fill
2025-09-09 12:20:00+05:30,2025-09-09 12:25:00+05:30,SHORT,522.625,527.95,-5.3250000000000455,-306.2500000000023,97981.25,Target Gap Fill
2025-09-09 13:00:00+05:30,2025-09-09 13:05:00+05:30,LONG,523.375,525.55,2.1749999999999545,68.74999999999773,98050.0,End of Candle
2025-09-09 13:50:00+05:30,2025-09-09 13:55:00+05:30,LONG,523.225,524.75,1.5249999999999773,36.24999999999886,98086.25,End of Candle
2025-09-09 14:25:00+05:30,2025-09-09 14:30:00+05:30,LONG,523.325,535.75,12.424999999999955,581.2499999999977,98667.5,Target Gap Fill
2025-09-09 14:40:00+05:30,2025-09-09 14:45:00+05:30,LONG,523.575,518.075,-5.5,-315.0,98352.5,Stoploss Hit
2025-09-09 15:25:00+05:30,2025-09-10 09:15:00+05:30,SHORT,525.175,560.85,-35.67500000000007,-1823.7500000000034,96528.75,Stop Gap Fill
2025-09-10 09:15:00+05:30,2025-09-10 09:20:00+05:30,SHORT,560.225,578.25,-18.024999999999977,-941.2499999999989,95587.5,Stop Gap Fill
2025-09-10 10:45:00+05:30,2025-09-10 10:50:00+05:30,LONG,615.025,607.75,-7.274999999999977,-403.74999999999886,95183.75,Stop Gap Fill
2025-09-10 10:50:00+05:30,2025-09-10 10:55:00+05:30,LONG,608.375,617.875,9.5,435.0,95618.75,Target Hit
2025-09-10 11:25:00+05:30,2025-09-10 11:30:00+05:30,LONG,610.375,609.75,-0.625,-71.25,95547.5,End of Candle
2025-09-10 11:30:00+05:30,2025-09-10 11:35:00+05:30,LONG,609.075,610.15,1.0749999999999318,13.74999999999659,95561.25,End of Candle
2025-09-10 11:50:00+05:30,2025-09-10 11:55:00+05:30,LONG,602.475,601.7,-0.7749999999999773,-78.74999999999886,95482.5,End of Candle
2025-09-10 12:10:00+05:30,2025-09-10 12:15:00+05:30,SHORT,606.575,610.9,-4.324999999999932,-256.2499999999966,95226.25,Target Gap Fill
2025-09-10 12:15:00+05:30,2025-09-10 12:20:00+05:30,SHORT,610.275,613.05,-2.7749999999999773,-178.74999999999886,95047.5,Target Gap Fill
2025-09-10 12:45:00+05:30,2025-09-10 12:50:00+05:30,LONG,604.275,598.775,-5.5,-315.0,94732.5,Stoploss Hit
2025-09-10 14:10:00+05:30,2025-09-10 14:15:00+05:30,SHORT,599.625,595.25,4.375,178.75,94911.25,Target Gap Fill
2025-09-10 14:50:00+05:30,2025-09-10 14:55:00+05:30,SHORT,588.325,589.25,-0.9249999999999545,-86.24999999999773,94825.0,Target Gap Fill
2025-09-11 10:00:00+05:30,2025-09-11 10:05:00+05:30,LONG,600.875,595.375,-5.5,-315.0,94510.0,Stoploss Hit
2025-09-11 10:05:00+05:30,2025-09-11 10:10:00+05:30,LONG,596.325,586.65,-9.675000000000068,-523.7500000000034,93986.25,Stop Gap Fill
2025-09-11 10:35:00+05:30,2025-09-11 10:40:00+05:30,SHORT,600.625,600.25,0.375,-21.25,93965.0,Target Gap Fill
2025-09-11 10:40:00+05:30,2025-09-11 10:45:00+05:30,SHORT,599.625,601.35,-1.7250000000000227,-126.25000000000114,93838.75,Target Gap Fill
2025-09-11 12:15:00+05:30,2025-09-11 12:20:00+05:30,SHORT,599.525,608.25,-8.725000000000023,-476.25000000000114,93362.5,Stop Gap Fill
