entry_time,exit_time,entry_price,exit_price,pnl,exit_reason,action
2025-09-01 09:30:00+05:30,2025-09-01 09:30:00+05:30,420.0,415.0,-5.0,Stoploss Hit,LONG
2025-09-01 09:35:00+05:30,2025-09-01 09:35:00+05:30,418.0,63525.0,63107.0,End of Candle,LONG
2025-09-01 09:40:00+05:30,2025-09-01 09:40:00+05:30,413.5,63825.0,63411.5,End of Candle,LONG
2025-09-01 09:45:00+05:30,2025-09-01 09:45:00+05:30,420.0,64200.0,-63780.0,End of Candle,SHORT
2025-09-01 09:50:00+05:30,2025-09-01 09:50:00+05:30,417.55,64125.0,63707.45,End of Candle,LONG
2025-09-01 10:00:00+05:30,2025-09-01 10:00:00+05:30,414.25,66900.0,66485.75,End of Candle,LONG
2025-09-01 10:05:00+05:30,2025-09-01 10:05:00+05:30,410.0,67575.0,-67165.0,End of Candle,SHORT
2025-09-01 10:10:00+05:30,2025-09-01 10:10:00+05:30,407.95,66900.0,-66492.05,End of Candle,SHORT
2025-09-01 10:15:00+05:30,2025-09-01 10:15:00+05:30,407.0,412.0,-5.0,Stoploss Hit,SHORT
2025-09-01 10:20:00+05:30,2025-09-01 10:20:00+05:30,404.4,66975.0,66570.6,End of Candle,LONG
2025-09-01 10:25:00+05:30,2025-09-01 10:25:00+05:30,412.2,67275.0,-66862.8,End of Candle,SHORT
2025-09-01 10:30:00+05:30,2025-09-01 10:30:00+05:30,402.4,67425.0,67022.6,End of Candle,LONG
2025-09-01 10:35:00+05:30,2025-09-01 10:35:00+05:30,404.9,68025.0,-67620.1,End of Candle,SHORT
2025-09-01 10:50:00+05:30,2025-09-01 10:50:00+05:30,416.0,68175.0,67759.0,End of Candle,LONG
2025-09-01 10:55:00+05:30,2025-09-01 10:55:00+05:30,416.9,68775.0,68358.1,End of Candle,LONG
2025-09-01 11:00:00+05:30,2025-09-01 11:00:00+05:30,416.7,68850.0,-68433.3,End of Candle,SHORT
2025-09-01 11:05:00+05:30,2025-09-01 11:05:00+05:30,416.45,69375.0,68958.55,End of Candle,LONG
2025-09-01 11:10:00+05:30,2025-09-01 11:10:00+05:30,417.65,69525.0,-69107.35,End of Candle,SHORT
2025-09-01 11:15:00+05:30,2025-09-01 11:15:00+05:30,414.6,69600.0,-69185.4,End of Candle,SHORT
2025-09-01 11:20:00+05:30,2025-09-01 11:20:00+05:30,415.95,69600.0,-69184.05,End of Candle,SHORT
2025-09-01 11:30:00+05:30,2025-09-01 11:30:00+05:30,414.25,70050.0,69635.75,End of Candle,LONG
2025-09-01 11:35:00+05:30,2025-09-01 11:35:00+05:30,414.1,70125.0,69710.9,End of Candle,LONG
2025-09-01 11:40:00+05:30,2025-09-01 11:40:00+05:30,415.1,70350.0,-69934.9,End of Candle,SHORT
2025-09-01 11:45:00+05:30,2025-09-01 11:45:00+05:30,408.05,70575.0,70166.95,End of Candle,LONG
2025-09-01 11:50:00+05:30,2025-09-01 11:50:00+05:30,409.15,70575.0,-70165.85,End of Candle,SHORT
2025-09-01 12:00:00+05:30,2025-09-01 12:00:00+05:30,410.55,71475.0,-71064.45,End of Candle,SHORT
2025-09-01 12:05:00+05:30,2025-09-01 12:05:00+05:30,413.55,71700.0,71286.45,End of Candle,LONG
2025-09-01 12:10:00+05:30,2025-09-01 12:10:00+05:30,414.05,71775.0,71360.95,End of Candle,LONG
2025-09-01 12:15:00+05:30,2025-09-01 12:15:00+05:30,418.25,71700.0,71281.75,End of Candle,LONG
2025-09-01 12:20:00+05:30,2025-09-01 12:20:00+05:30,424.85,419.85,-5.0,Stoploss Hit,LONG
2025-09-01 12:25:00+05:30,2025-09-01 12:25:00+05:30,433.05,428.05,-5.0,Stoploss Hit,LONG
2025-09-01 12:30:00+05:30,2025-09-01 12:30:00+05:30,429.2,73875.0,73445.8,End of Candle,LONG
2025-09-01 12:40:00+05:30,2025-09-01 12:40:00+05:30,428.1,74400.0,73971.9,End of Candle,LONG
2025-09-01 13:00:00+05:30,2025-09-01 13:00:00+05:30,434.05,75600.0,-75165.95,End of Candle,SHORT
2025-09-01 13:05:00+05:30,2025-09-01 13:05:00+05:30,439.95,434.95,-5.0,Stoploss Hit,LONG
2025-09-01 13:10:00+05:30,2025-09-01 13:10:00+05:30,435.3,75975.0,75539.7,End of Candle,LONG
2025-09-01 13:20:00+05:30,2025-09-01 13:20:00+05:30,435.3,76950.0,76514.7,End of Candle,LONG
2025-09-01 13:35:00+05:30,2025-09-01 13:35:00+05:30,440.5,77325.0,76884.5,End of Candle,LONG
2025-09-01 13:45:00+05:30,2025-09-01 13:45:00+05:30,438.3,76875.0,-76436.7,End of Candle,SHORT
2025-09-01 13:55:00+05:30,2025-09-01 13:55:00+05:30,439.55,76725.0,76285.45,End of Candle,LONG
2025-09-01 14:05:00+05:30,2025-09-01 14:05:00+05:30,444.0,76800.0,-76356.0,End of Candle,SHORT
2025-09-01 14:10:00+05:30,2025-09-01 14:10:00+05:30,444.8,76800.0,76355.2,End of Candle,LONG
2025-09-01 14:15:00+05:30,2025-09-01 14:15:00+05:30,443.0,78075.0,77632.0,End of Candle,LONG
2025-09-01 14:20:00+05:30,2025-09-01 14:20:00+05:30,442.95,78225.0,77782.05,End of Candle,LONG
2025-09-01 14:25:00+05:30,2025-09-01 14:25:00+05:30,439.0,444.0,-5.0,Stoploss Hit,SHORT
2025-09-01 14:30:00+05:30,2025-09-01 14:30:00+05:30,444.45,439.45,-5.0,Stoploss Hit,LONG
2025-09-01 14:40:00+05:30,2025-09-01 14:40:00+05:30,446.6,79875.0,79428.4,End of Candle,LONG
2025-09-01 14:45:00+05:30,2025-09-01 14:45:00+05:30,444.5,80175.0,79730.5,End of Candle,LONG
2025-09-01 14:50:00+05:30,2025-09-01 14:50:00+05:30,443.5,80775.0,80331.5,End of Candle,LONG
2025-09-01 14:55:00+05:30,2025-09-01 14:55:00+05:30,453.25,80625.0,-80171.75,End of Candle,SHORT
2025-09-01 15:00:00+05:30,2025-09-01 15:00:00+05:30,447.9,80475.0,80027.1,End of Candle,LONG
2025-09-01 15:15:00+05:30,2025-09-01 15:15:00+05:30,453.45,81075.0,80621.55,End of Candle,LONG
2025-09-01 15:20:00+05:30,2025-09-01 15:20:00+05:30,451.95,81600.0,81148.05,End of Candle,LONG
2025-09-02 09:15:00+05:30,2025-09-02 09:15:00+05:30,462.05,80250.0,79787.95,End of Candle,LONG
2025-09-02 09:20:00+05:30,2025-09-02 09:20:00+05:30,453.0,80100.0,79647.0,End of Candle,LONG
2025-09-02 09:25:00+05:30,2025-09-02 09:25:00+05:30,448.05,453.05,-5.0,Stoploss Hit,SHORT
2025-09-02 09:30:00+05:30,2025-09-02 09:30:00+05:30,467.65,457.65,10.0,Target Hit,SHORT
2025-09-02 09:35:00+05:30,2025-09-02 09:35:00+05:30,471.65,466.65,-5.0,Stoploss Hit,LONG
2025-09-02 09:40:00+05:30,2025-09-02 09:40:00+05:30,476.0,80175.0,79699.0,End of Candle,LONG
2025-09-02 09:45:00+05:30,2025-09-02 09:45:00+05:30,483.95,478.95,-5.0,Stoploss Hit,LONG
2025-09-02 09:50:00+05:30,2025-09-02 09:50:00+05:30,494.3,489.3,-5.0,Stoploss Hit,LONG
2025-09-02 09:55:00+05:30,2025-09-02 09:55:00+05:30,495.5,490.5,-5.0,Stoploss Hit,LONG
2025-09-02 10:00:00+05:30,2025-09-02 10:00:00+05:30,502.75,497.75,-5.0,Stoploss Hit,LONG
2025-09-02 10:05:00+05:30,2025-09-02 10:05:00+05:30,505.9,500.9,-5.0,Stoploss Hit,LONG
2025-09-02 10:10:00+05:30,2025-09-02 10:10:00+05:30,500.75,77475.0,76974.25,End of Candle,LONG
2025-09-02 10:15:00+05:30,2025-09-02 10:15:00+05:30,498.95,76800.0,-76301.05,End of Candle,SHORT
2025-09-02 10:20:00+05:30,2025-09-02 10:20:00+05:30,498.35,503.35,-5.0,Stoploss Hit,SHORT
2025-09-02 10:25:00+05:30,2025-09-02 10:25:00+05:30,505.0,500.0,-5.0,Stoploss Hit,LONG
2025-09-02 10:35:00+05:30,2025-09-02 10:35:00+05:30,499.0,76200.0,75701.0,End of Candle,LONG
2025-09-02 10:40:00+05:30,2025-09-02 10:40:00+05:30,505.95,76200.0,-75694.05,End of Candle,SHORT
2025-09-02 10:50:00+05:30,2025-09-02 10:50:00+05:30,502.0,76425.0,75923.0,End of Candle,LONG
2025-09-02 11:05:00+05:30,2025-09-02 11:05:00+05:30,500.0,76425.0,75925.0,End of Candle,LONG
2025-09-02 11:10:00+05:30,2025-09-02 11:10:00+05:30,504.0,509.0,-5.0,Stoploss Hit,SHORT
2025-09-02 11:15:00+05:30,2025-09-02 11:15:00+05:30,499.95,76875.0,76375.05,End of Candle,LONG
