entry_time,exit_time,side,entry,exit,pnl_points,gross_rupees,costs_rupees,pnl_rupees,equity,exit_reason
2025-08-07 09:50:00+05:30,2025-08-07 10:15:00+05:30,SHORT,529.1,519.1,10.0,1500.0,70.0,1430.0,101430.0,Target Hit
2025-08-07 10:35:00+05:30,2025-08-07 10:45:00+05:30,SHORT,502.6,492.6,10.0,1500.0,70.0,1430.0,102860.0,Target Hit
2025-08-07 10:55:00+05:30,2025-08-07 11:20:00+05:30,SHORT,487.3,489.3,-2.0,-300.0,70.0,-370.0,102490.0,Stoploss Hit
2025-08-07 11:45:00+05:30,2025-08-07 13:35:00+05:30,SHORT,493.8,483.8,10.0,1500.0,70.0,1430.0,103920.0,Target Hit
2025-08-07 13:45:00+05:30,2025-08-07 14:00:00+05:30,SHORT,468.2,470.2,-2.0,-300.0,70.0,-370.0,103550.0,Stoploss Hit
2025-08-07 14:25:00+05:30,2025-08-07 14:30:00+05:30,LONG,501.45,511.45,10.0,1500.0,70.0,1430.0,104980.0,Target Hit
2025-08-07 14:45:00+05:30,2025-08-07 14:50:00+05:30,LONG,547.6,545.6,-2.0,-300.0,70.0,-370.0,104610.0,Stoploss Hit
2025-08-08 09:25:00+05:30,2025-08-08 09:30:00+05:30,LONG,565.0,563.0,-2.0,-300.0,70.0,-370.0,104240.0,Stoploss Hit
2025-08-08 10:00:00+05:30,2025-08-08 10:05:00+05:30,SHORT,520.0,510.0,10.0,1500.0,70.0,1430.0,105670.0,Target Hit
2025-08-08 10:35:00+05:30,2025-08-08 10:50:00+05:30,SHORT,503.25,493.25,10.0,1500.0,70.0,1430.0,107100.0,Target Hit
2025-08-08 11:45:00+05:30,2025-08-08 11:55:00+05:30,SHORT,498.65,500.65,-2.0,-300.0,70.0,-370.0,106730.0,Stoploss Hit
2025-08-08 13:00:00+05:30,2025-08-08 13:15:00+05:30,LONG,520.0,518.0,-2.0,-300.0,70.0,-370.0,106360.0,Stoploss Hit
2025-08-08 13:25:00+05:30,2025-08-08 13:35:00+05:30,SHORT,493.7,495.7,-2.0,-300.0,70.0,-370.0,105990.0,Stoploss Hit
2025-08-08 14:05:00+05:30,2025-08-08 14:10:00+05:30,SHORT,492.0,482.0,10.0,1500.0,70.0,1430.0,107420.0,Target Hit
2025-08-08 14:45:00+05:30,2025-08-08 15:10:00+05:30,SHORT,485.0,475.0,10.0,1500.0,70.0,1430.0,108850.0,Target Hit
2025-08-11 09:45:00+05:30,2025-08-11 09:50:00+05:30,SHORT,470.0,472.0,-2.0,-300.0,70.0,-370.0,108480.0,Stoploss Hit
2025-08-11 10:10:00+05:30,2025-08-11 10:30:00+05:30,LONG,483.0,493.0,10.0,1500.0,70.0,1430.0,109910.0,Target Hit
2025-08-11 13:05:00+05:30,2025-08-11 13:15:00+05:30,LONG,521.0,519.0,-2.0,-300.0,70.0,-370.0,109540.0,Stoploss Hit
2025-08-11 13:35:00+05:30,2025-08-11 13:50:00+05:30,LONG,516.3,526.3,10.0,1500.0,70.0,1430.0,110970.0,Target Hit
2025-08-11 14:05:00+05:30,2025-08-11 14:35:00+05:30,LONG,528.6,538.6,10.0,1500.0,70.0,1430.0,112400.0,Target Hit
2025-08-11 14:55:00+05:30,2025-08-11 15:00:00+05:30,LONG,555.0,553.0,-2.0,-300.0,70.0,-370.0,112030.0,Stoploss Hit
2025-08-11 15:10:00+05:30,2025-08-11 15:25:00+05:30,LONG,560.0,560.0,0.0,0.0,70.0,-70.0,111960.0,Square-off EOD
2025-08-12 09:35:00+05:30,2025-08-12 09:40:00+05:30,LONG,567.25,577.25,10.0,1500.0,70.0,1430.0,113390.0,Target Hit
2025-08-12 10:00:00+05:30,2025-08-12 10:05:00+05:30,LONG,607.55,617.55,10.0,1500.0,70.0,1430.0,114820.0,Target Hit
2025-08-12 10:15:00+05:30,2025-08-12 10:35:00+05:30,LONG,618.1,616.1,-2.0,-300.0,70.0,-370.0,114450.0,Stoploss Hit
2025-08-12 12:50:00+05:30,2025-08-12 12:55:00+05:30,LONG,581.35,579.35,-2.0,-300.0,70.0,-370.0,114080.0,Stoploss Hit
2025-08-12 14:05:00+05:30,2025-08-12 14:25:00+05:30,SHORT,550.0,540.0,10.0,1500.0,70.0,1430.0,115510.0,Target Hit
2025-08-12 14:55:00+05:30,2025-08-12 15:25:00+05:30,SHORT,515.45,505.45000000000005,10.0,1500.0,70.0,1430.0,116940.0,Target Hit
2025-08-13 09:35:00+05:30,2025-08-13 09:55:00+05:30,LONG,544.35,554.35,10.0,1500.0,70.0,1430.0,118370.0,Target Hit
2025-08-13 10:30:00+05:30,2025-08-13 11:10:00+05:30,LONG,569.0,567.0,-2.0,-300.0,70.0,-370.0,118000.0,Stoploss Hit
2025-08-13 12:55:00+05:30,2025-08-13 13:10:00+05:30,LONG,592.0,590.0,-2.0,-300.0,70.0,-370.0,117630.0,Stoploss Hit
2025-08-13 13:20:00+05:30,2025-08-13 13:50:00+05:30,LONG,595.75,605.75,10.0,1500.0,70.0,1430.0,119060.0,Target Hit
2025-08-13 14:00:00+05:30,2025-08-13 14:10:00+05:30,LONG,607.45,605.45,-2.0,-300.0,70.0,-370.0,118690.0,Stoploss Hit
2025-08-14 10:00:00+05:30,2025-08-14 10:30:00+05:30,SHORT,596.0,598.0,-2.0,-300.0,70.0,-370.0,118320.0,Stoploss Hit
