entry_time,exit_time,entry_price,exit_price,pnl,exit_reason,action
2025-08-04 15:00:00+05:30,2025-08-04 15:00:00+05:30,683.1,688.1,-5.0,Stoploss Hit,SELL
2025-08-06 11:25:00+05:30,2025-08-06 11:25:00+05:30,565.0,225.0,340.0,Same Candle Exit,SELL
2025-08-06 11:35:00+05:30,2025-08-06 11:35:00+05:30,588.2,583.2,-5.0,Stoploss Hit,BUY
2025-08-06 15:15:00+05:30,2025-08-06 15:15:00+05:30,558.25,563.25,-5.0,Stoploss Hit,SELL
2025-08-07 09:45:00+05:30,2025-08-07 09:45:00+05:30,529.1,450.0,79.10000000000002,Same Candle Exit,SELL
2025-08-07 10:15:00+05:30,2025-08-07 10:15:00+05:30,515.9,520.9,-5.0,Stoploss Hit,SELL
2025-08-07 10:25:00+05:30,2025-08-07 10:25:00+05:30,520.0,600.0,80.0,Same Candle Exit,BUY
2025-08-07 10:30:00+05:30,2025-08-07 10:30:00+05:30,500.0,505.0,-5.0,Stoploss Hit,SELL
2025-08-07 10:40:00+05:30,2025-08-07 10:40:00+05:30,497.0,502.0,-5.0,Stoploss Hit,SELL
2025-08-07 10:45:00+05:30,2025-08-07 10:45:00+05:30,487.95,492.95,-5.0,Stoploss Hit,SELL
2025-08-07 10:50:00+05:30,2025-08-07 10:50:00+05:30,487.3,975.0,-487.7,Same Candle Exit,SELL
2025-08-07 11:05:00+05:30,2025-08-07 11:05:00+05:30,485.0,1125.0,-640.0,Same Candle Exit,SELL
2025-08-07 11:20:00+05:30,2025-08-07 11:20:00+05:30,493.35,488.35,-5.0,Stoploss Hit,BUY
2025-08-07 11:25:00+05:30,2025-08-07 11:25:00+05:30,494.75,1200.0,705.25,Same Candle Exit,BUY
2025-08-07 11:30:00+05:30,2025-08-07 11:30:00+05:30,495.5,1350.0,854.5,Same Candle Exit,BUY
2025-08-07 11:35:00+05:30,2025-08-07 11:35:00+05:30,496.6,1500.0,1003.4,Same Candle Exit,BUY
2025-08-07 11:40:00+05:30,2025-08-07 11:40:00+05:30,493.8,1575.0,-1081.2,Same Candle Exit,SELL
2025-08-07 11:50:00+05:30,2025-08-07 11:50:00+05:30,491.0,1725.0,-1234.0,Same Candle Exit,SELL
2025-08-07 12:00:00+05:30,2025-08-07 12:00:00+05:30,493.6,2325.0,1831.4,Same Candle Exit,BUY
2025-08-07 12:00:00+05:30,2025-08-07 12:00:00+05:30,490.0,2325.0,-1835.0,Same Candle Exit,SELL
2025-08-07 12:15:00+05:30,2025-08-07 12:15:00+05:30,494.9,489.9,-5.0,Stoploss Hit,BUY
2025-08-07 12:15:00+05:30,2025-08-07 12:15:00+05:30,489.75,494.75,-5.0,Stoploss Hit,SELL
2025-08-07 13:35:00+05:30,2025-08-07 13:35:00+05:30,460.0,465.0,-5.0,Stoploss Hit,SELL
2025-08-07 13:40:00+05:30,2025-08-07 13:40:00+05:30,457.95,2775.0,-2317.05,Same Candle Exit,SELL
2025-08-07 13:45:00+05:30,2025-08-07 13:45:00+05:30,472.15,467.15,-5.0,Stoploss Hit,BUY
2025-08-07 13:55:00+05:30,2025-08-07 13:55:00+05:30,468.6,2775.0,2306.4,Same Candle Exit,BUY
2025-08-07 14:00:00+05:30,2025-08-07 14:00:00+05:30,476.0,471.0,-5.0,Stoploss Hit,BUY
2025-08-07 14:05:00+05:30,2025-08-07 14:05:00+05:30,480.0,2775.0,2295.0,Same Candle Exit,BUY
2025-08-07 14:15:00+05:30,2025-08-07 14:15:00+05:30,492.0,487.0,-5.0,Stoploss Hit,BUY
2025-08-07 14:20:00+05:30,2025-08-07 14:20:00+05:30,504.0,499.0,-5.0,Stoploss Hit,BUY
